model,main_language,cer,cer_full,wer,coverage,semantic_error_count,semantic_error_rate,semantic_document_score,semantic_has_error_pct,n
Churro 3B,Arabic,162.84011149624766,170.8952348303643,184.3092334909352,0.7639137931034483,1.3103448275862069,0.0029009887345993962,0.6084906822575675,0.13793103448275862,29
Churro 3B,Bangla,56.85951849817211,67.71937754665997,105.55125948233754,0.48268,0.1,0.0007497462440604702,0.527924027762634,0.1,30
Churro 3B,Bulgarian,265.17720369810826,271.3365156426163,771.8210025870634,0.8350518518518518,0.0,0.0,0.6020801076451732,0.0,27
Churro 3B,Catalan,123.88536250760231,136.35936175876796,71.88156591868804,0.5456833333333333,7.166666666666667,0.012590615135227478,0.5307985964616636,0.6,30
Churro 3B,Chinese,515.1473672795267,518.6766972020401,4572.142857142858,0.5138976190476191,0.023809523809523808,0.0001984126984126984,0.49430895096070643,0.023809523809523808,42
Churro 3B,Czech,28.13944546606815,43.364646888932526,40.71273796628625,0.6743310344827586,1.3103448275862069,0.0032543877105678633,0.631099319268384,0.4482758620689655,29
Churro 3B,Dutch,72.27078509085814,87.8101485258276,139.83033995963353,0.5879436363636363,2.672727272727273,0.007049995210599767,0.5132366784600333,0.6,55
Churro 3B,English,117.63811775122898,121.92363923486259,452.98979516453073,0.8861160714285715,5.142857142857143,0.013387727078712266,0.5281747976344838,0.6964285714285714,56
Churro 3B,Finnish,276.22005091625556,285.0807645312369,342.3942113746901,0.8386,6.777777777777778,0.005763416477702192,0.5206033900111113,0.1111111111111111,9
Churro 3B,French,313.49824006623066,321.9158529347691,155.2112195989221,0.717210909090909,3.7454545454545456,0.008953378107053593,0.5502176754157121,0.6727272727272727,55
Churro 3B,German,133.58841943786362,143.7284997257976,138.12955766596616,0.6866480769230769,10.442307692307692,0.014198910746771955,0.5579557586163432,0.6538461538461539,52
Churro 3B,Greek,231.4845667354845,241.80880637577891,563.2134603736368,0.7119633333333333,0.26666666666666666,0.0008743169398907104,0.626024687567621,0.03333333333333333,30
Churro 3B,Hebrew,524.3699647506721,530.142254126687,632.0661923622466,0.6477466666666667,0.0,0.0,0.5188924271043879,0.0,30
Churro 3B,Hindi,6.754347270801771,8.72999415055824,27.138205603419856,0.95202,0.0,0.0,0.623341028174077,0.0,30
Churro 3B,Italian,48.24360733855556,65.75078265881834,69.01546498309075,0.4782310344827586,6.068965517241379,0.020580608618047495,0.493918408309739,0.7586206896551724,29
Churro 3B,Japanese,651.9685853485173,656.1213717553233,174.47530864197532,0.7609250000000001,0.0,0.0,0.4931195408747609,0.0,60
Churro 3B,Khmer,3242.3824282653827,3242.3824282653827,3020.49939653066,0.99219,0.0,0.0,0.6651640892532692,0.0,30
Churro 3B,Latin,248.06995073129164,253.44093867965157,384.1663193798928,0.7450966666666666,10.5,0.018795155887810836,0.5764325179288375,0.8,60
Churro 3B,Norwegian,303.8917888465045,311.4970457550557,53.0950268636769,0.7580433333333333,3.8,0.02216535606097695,0.5130657703198878,0.7,30
Churro 3B,Persian,186.24425294536923,198.52702382692306,237.5278471442719,0.6698321428571428,0.7857142857142857,0.002866866509356605,0.5584794228769121,0.35714285714285715,28
Churro 3B,Polish,156.32521117906143,168.24794659785533,105.4714743362664,0.638332,20.32,0.014906133544837693,0.4985564169653604,0.52,25
Churro 3B,Portuguese,3632.7749294516784,3638.762735670023,3142.2062228516015,0.6055866666666667,14.233333333333333,0.030820620847336867,0.507863195941222,0.7333333333333333,30
Churro 3B,Romanian,31.402993709713456,34.12244829416376,59.494631834400174,0.8254965517241379,0.5517241379310345,0.0018273007631253743,0.7144059556577373,0.1724137931034483,29
